provinsi,tingkat_penyelesaian_pendidikan,sanitasi_layak,air_minum,fasilitas_kesehatan,rumah_sendiri,listrik_pln,longitude,latitude,miskin
ACEH,70.67,77.55,39.4,69.31,83.32,99.69,97.0253024,4.36854909955578,834.24
BALI,66.87,95.95,40.93,91.3,83.56,99.92,115.0906401,-8.3304977,72.71
BANTEN,54.8,82.89,35.3,80.27,84.98,99.56,106.1375586,-6.4453801,52.86
BENGKULU,45.12,79.81,43.76,78.83,87.46,99.21,102.5359834,-3.5186763,186.29
DI YOGYAKARTA,61.88,97.12,65.03,87.54,85.5,99.95,110.370529,-7.797068,140.04
DKI JAKARTA,66.87,95.17,24.11,79.52,56.13,99.73,106.774124,-6.121435,4572.73
GORONTALO,53.73,78.58,31.69,86.87,84.81,98.43,122.4555927,0.7186174,404.44
JAMBI,87.92,80.36,46.33,73.41,86.21,97.73,102.779699,-1.611572,506.45
JAWA BARAT,58.4,71.66,40.64,79.49,82.61,98.39,107.6404716,-6.8891904,367.89
JAWA TENGAH,67.81,83.28,55.91,85.81,90.98,99.77,110.0044145,-7.3032412,208.11
JAWA TIMUR,74,80.97,52.5,81.88,90.87,99.96,112.4914199,-7.6977397,241.77
KALIMANTAN BARAT,72.08,78.39,51.77,74.94,90.79,99.59,111.0968901,-0.1322387,321.81
KALIMANTAN SELATAN,61,81.43,39.8,87.16,81.2,89.99,115.3700718,-2.9285686,746.66
KALIMANTAN TENGAH,67.1,73.77,30.45,79.63,80.92,98.78,113.2903307,-1.499583,87.16
KALIMANTAN TIMUR,38.47,89.77,18.22,78.03,74.05,85.36,116.2419977,0.7884397,1169.31
KALIMANTAN UTARA,39.01,79.8,20.62,87.73,74.33,95.56,116.2049306,3.0235817,920.44
KEP. BANGKA BELITUNG,67.05,92.24,19.33,89.44,88.39,94.16,106.3585607,-3.5186763,4195.34
KEP. RIAU,58.75,91.62,14.47,83.77,69.39,99.53,104.5803745,-0.1547846,4109.75
LAMPUNG,65.85,83.89,52.03,80.69,91.81,97.96,105.0272986,-4.8555039,293.86
MALUKU,66.66,76.77,28.83,79.84,83.05,98.66,129.4207759,-3.118837,196.35
MALUKU UTARA,65.96,77.11,45.23,81.21,89.41,93.15,127.9720219,0.6301215,370.67
NUSA TENGGARA BARAT,73.93,82.85,43.82,75.1,90.74,90.98,117.146169,-8.7892855,144.46
NUSA TENGGARA TIMUR,62.42,73.36,29.78,56.33,89.59,99.68,120.6978581,-8.5656787,1083.93
PAPUA,77.16,40.81,30.07,36.97,86.38,85.58,138.3485219,-3.9885728,1343.86
PAPUA BARAT,67.07,77.89,28.46,73.71,81.8,43.04,132.902528,-1.3842356,1113.76
RIAU,64.88,83.64,36.57,74.93,76.52,83.49,101.5475811,0.5004112,306
SULAWESI BARAT,65.97,80.12,40.8,76.25,92.51,95.2,119.3918955,-2.4974546,318.7
SULAWESI SELATAN,55.18,91.57,46.22,89.08,87.4,92.85,119.9471906,-3.6446718,157.19
SULAWESI TENGAH,66.91,76.06,35.01,82.23,88.32,97.36,120.8088555,-1.6937786,500.81
SULAWESI TENGGARA,68.32,85.62,42.4,85.69,89.74,95.26,121.7279646,-3.5491199,784.98
SULAWESI UTARA,57.07,84.85,37.32,84.58,79.12,97.02,124.090151,0.6555692,219.07
SUMATERA BARAT,66.02,68.68,39.56,82.09,72.45,99.22,100.6133379,-0.5827529,867.23
SUMATERA SELATAN,87.71,77.29,52.39,75.28,84,98.82,104.0930554,-3.1266842,501.92
SUMATERA UTARA,76.59,82.02,42.39,68.22,70.04,96.55,99.3812201,2.1923519,201.97
